ID_INSPIRE,logAge,[M/H],SNR,mass_frac,time_75,time_90,time_100,dor_100,univ_age,mass_frac_reg,time_75_reg,time_90_reg,time_100_reg,dor_100_reg,mass_frac_unr,time_75_unr,time_90_unr,time_100_unr,dor_100_unr,dor_100_plus,dor_100_min
J0752+3514,9.940665584825522,0.3249175616710402,20.55386232053975,0.63516,4.42375,6.28599,10.49749,0.28617263099711887,11.012518999637868,0.63516,4.42375,6.28599,10.49749,0.49831795699616227,0.89633,1.79556,2.95547,10.47263,0.6412732268276563,0.6575566241509109,0.6361899829270211
J1712+6401,10.043477586399687,0.35950462310245285,38.074399000172086,0.98126,2.07719,2.41115,7.39376,0.548008052322023,11.581988759536797,0.98126,2.07719,2.41115,7.39376,0.7611951622236331,1.0,0.98359,1.40568,2.33938,1.0021191937048393,1.021550828409323,0.9661764139346882
J1512+4351,9.94526964636896,0.1702905410053205,22.49781688190292,0.86015,1.68357,4.51502,10.93354,0.40945503013185225,11.018345243067502,0.88673,1.2342,3.20586,10.90894,0.6672600324870865,0.86015,1.68357,4.51502,10.93354,0.6216115598539408,0.6076222935455188,0.6023873257309752
J0750+2259,10.04172292206397,0.371567128729135,43.31734152154877,0.98997,1.16026,1.85264,4.49902,0.7014093971835583,11.996411452468209,0.98997,1.16026,1.85264,4.49902,0.9152924695569505,0.9993,1.00074,1.43928,2.46302,0.9978724029855304,1.0058090809907814,0.9679619946420597
J1441+1421,9.817592414415673,0.2905354632165964,37.54467249902211,0.41697,6.34399,9.43926,10.50889,0.20814370063409074,11.257071105756005,0.41697,6.34399,8.8442,10.50889,0.42074932147975713,0.57484,4.19898,9.43926,10.46914,0.4879702879073006,0.583265069391888,0.4182085792023183
J2241-0048,9.995951671640238,0.27905694214331256,15.960409678289643,0.77446,2.30719,3.43205,10.63131,0.3631140988695287,11.012378192247635,0.77446,2.30719,3.43205,10.63131,0.5752591539527023,0.96631,1.2827,1.86972,10.11294,0.7125959866290325,0.7126336864728793,0.699364854399546
J0010+1431,10.002215166951652,0.23866360060295114,19.108154755148796,0.95244,1.51519,2.21892,7.88084,0.5449410714453876,11.088244002106551,0.95244,1.51519,1.94289,7.88084,0.757231096813185,0.9529,1.48532,2.21892,7.43229,0.7730807409935148,0.8253978565937626,0.7689612021591259
J1141+0545,10.022640629641932,0.32751291110425934,25.003262048669104,0.92097,1.6357,2.4325,5.99784,0.586693350244515,11.354879145667287,0.92097,1.6357,2.4325,5.99784,0.7994775143317477,0.99907,0.9726,1.39199,2.38894,1.0009223673732646,0.9819576631783877,0.9816262649793916
J1558+2714,10.022305332021173,0.355914133268379,19.64836727267766,0.87808,1.88552,3.13586,9.23943,0.46629479223492276,11.471954587368447,0.87808,1.88552,3.13586,9.23943,0.6792886680193,1.0,1.02039,1.44281,2.39326,0.9937967976132542,,0.9854219666897289
J0858+5528,10.02385876942253,0.310121769753089,35.687462010138326,0.918,0.92879,2.33917,9.63924,0.5593479891785547,11.485731767733427,0.918,0.46738,2.33917,9.63924,0.9495190932904835,0.99822,0.92879,1.35,2.86121,0.9958149595017067,,1.018016777975094
J1138+5952,10.019332617149205,0.35727790452114383,34.88263038143251,0.93078,1.63901,1.93853,8.49042,0.5139943301170976,11.227666747313076,0.93078,1.63901,1.93853,8.49042,0.7265456667466926,0.99912,1.10232,1.51484,2.46922,0.9775953287987044,1.0154864795952894,0.9550248366905681
J1105+0053,10.010844889477823,0.24635713697963485,27.85428428912854,0.91721,1.3964,2.31093,10.78188,0.4635284766025312,11.39597027493245,0.91721,1.3964,2.31093,10.70079,0.678758627112798,0.97329,1.16329,1.72787,10.78188,0.7189973511065558,0.7205794981856256,0.7095376253887796
J1410+0727,9.993777583460991,0.2709665019026622,19.829901459411847,0.98368,1.3353,1.79598,8.65943,0.5420650450490521,10.874540216785432,0.98368,1.3353,1.79598,8.65943,0.7539415325128772,0.9898,1.26524,1.79005,3.89364,0.9089769805629221,0.936221646938324,0.9182309001628838
J1502+2334,10.008551017856297,0.2664514057070541,26.614920629584308,0.9669,1.28064,1.86061,9.3169,0.5312686925833573,11.285700649458395,0.97145,0.85798,1.66945,8.99917,0.8189394644654234,0.9669,1.28064,1.86061,9.3169,0.743926895450198,0.7743056178162752,0.7359736988445946
J0858+5240,10.023923300863633,0.35482188038819357,38.72862626945287,0.98015,1.50826,1.84128,5.45683,0.6311771910752341,11.376539790282365,0.98015,1.50826,1.84128,5.45683,0.8440004802620473,0.99976,0.96317,1.37296,1.98454,1.0148125723793155,1.0336689632185294,0.9917584917813344
J1603+0726,10.00224720288489,0.3464233331105224,17.787646363467243,0.99682,0.98341,1.40716,9.15441,0.5764372522279705,10.895656060813302,0.99682,0.4612,1.19292,9.15441,0.9802531315878754,1.0,0.98341,1.40716,2.35815,0.9973348818904761,1.0086667377094727,0.9955498916642047
J1545+4421,9.953531346533142,0.18212495137886464,21.391721781777004,0.83527,2.27545,4.26189,10.60017,0.38565650923430167,11.024231173300894,0.84823,1.36407,4.11862,10.60017,0.6510821282197581,0.83527,2.27545,4.26189,9.93518,0.6179312653465528,0.6477584424262377,0.4577490651077159
J1108+5006,10.016117995814538,0.3358824079338968,11.41125112115743,0.99276,1.25887,1.76445,3.90122,0.7010439132434221,11.161471240951947,0.99276,0.46516,0.97888,3.90122,1.1393777844797166,0.99816,1.25887,1.76445,2.89157,0.9454248327093039,0.9535842601134474,0.9425003249355797
J1420+4225,10.00923094628353,0.32859953654902835,19.052438315400035,0.82824,1.88625,3.82816,9.80649,0.43143380031905304,11.397147967295952,0.82824,1.88625,3.82816,9.80649,0.6442941755050602,0.99042,1.42865,1.97593,3.38854,0.9143620061616488,0.9412007861056355,0.69312353030274
J0748+3445,10.018976356752633,0.3588376673278862,31.420688218320954,0.99309,1.72333,2.07516,3.9177,0.6636876899261129,11.013376896640724,0.99309,1.72333,2.07516,3.9177,0.8758346663842443,0.99933,1.12723,1.5547,2.46891,0.9729071498551543,0.9888729994707184,0.9712049650666694
J1640+1300,9.996223023124001,0.3353974234921596,17.558973936267094,0.98645,1.15056,1.5929,9.35124,0.5411610894645217,10.847436740818788,0.98645,1.10138,1.4179,9.35124,0.7594522745804092,0.99855,1.15056,1.5929,2.48918,0.9678830894765071,0.9612973550862899,0.7258859395818544
J0750+5139,10.0132039519288,0.3381309371064757,24.453282835976708,0.92187,1.29193,1.93157,9.87709,0.49975220869318343,11.334900969719104,0.92187,1.29193,1.93157,9.87709,0.7125001541209076,0.99627,1.2822,1.79362,2.98885,0.9408463932133438,0.9608023398265275,0.7007609534240645
J0051+0427,10.022304238688767,0.29423257193055835,28.735852177287295,0.95227,1.73936,1.95202,9.16029,0.4910363997285107,11.035791505218382,0.95227,1.73936,1.95202,9.16029,0.7032264074360383,0.99511,0.97484,1.41301,3.36104,0.9678188513198478,0.9517031928365599,0.9596293877390695
J0145-0854,9.981914194673097,0.19042635529909638,17.76039049524725,0.94008,1.41352,2.19372,8.26437,0.5315226928845249,10.818006858374996,0.96988,0.54646,1.82942,8.26437,0.9403047789943996,0.94008,1.41352,2.19372,6.3659,0.8017842705081385,0.8460063690853774,0.7791658834264338
J1523+2215,10.024933529936792,0.3417642156588584,25.441889396212638,0.99975,0.94325,1.5925,1.99605,0.805225108818186,11.35324035096358,0.99975,0.44708,1.5925,1.99605,1.2141016115707257,1.0,0.94325,1.34893,1.98195,1.0185036187766732,1.0086710505382102,0.971491734190943
J1627+0113,9.872056700879222,0.13578276338435427,25.63621674259486,0.65198,5.30042,8.21115,10.26473,0.2833363605679258,10.671312380287137,0.65198,5.30042,7.64318,10.26473,0.49480421709595407,0.77421,2.32078,8.21115,10.20638,0.5777410807981372,0.6461945937703938,
J0803+2020,10.017678542029444,0.34527396257239934,28.76212301556059,0.9151,1.58112,1.96168,10.5805,0.44906026921697134,11.175130808603368,0.9151,1.58112,1.96168,10.34804,0.6684477553530007,0.99762,1.09203,1.50105,10.5805,0.7362310223293544,0.9968266917276406,0.7279153942935931
J1215+2111,9.985663178857205,0.33195446654221183,17.93143767076481,0.94057,1.45148,2.15411,10.26553,0.4732213044419083,11.053533847903966,0.94057,1.27827,1.94143,10.26553,0.7010044784035027,0.95456,1.45148,2.15411,10.25595,0.690397480289375,0.6991461335892173,
J1446+3452,9.995714370189448,0.33500432630345783,20.01713018798872,0.9922,1.11162,1.54221,10.11938,0.5262208443846644,10.910502423883129,0.9922,1.03816,1.38559,9.98205,0.752972819427117,0.99737,1.11162,1.54221,10.11938,0.7398913892882705,0.7546723951260995,0.7278196237173363
J2251+1505,9.978241821676168,0.23313314625816128,18.681348371574497,0.82606,1.5054,3.28739,9.33164,0.4559457330412536,10.921143793648874,0.82606,1.35192,3.28739,9.33164,0.6804826934218625,0.9619,1.5054,2.21411,9.08909,0.7205968536050774,0.700445993265333,0.7179226219743077
J0831+5115,9.994544927088581,0.24560102114824134,14.749120916329998,0.95249,1.24771,2.09924,9.5459,0.5137478139408572,10.89422441431227,0.95249,1.24771,2.09924,9.5459,0.725663070643899,0.97444,1.1374,1.66832,5.94716,0.8560462733837699,,0.8048199753929097
J1714+3812,10.018586573028877,0.3591973328736334,33.94172540545055,0.98346,1.09894,1.50575,9.31214,0.5626423514153293,11.474945729072513,0.98346,0.44682,0.89482,9.31214,0.9969865125977345,0.99845,1.09894,1.50575,2.48685,0.9789046381154218,0.9870723445968128,0.734828834385047
J0038-0058,10.012512734519124,0.3354904788896663,18.92460214778407,0.99411,1.56259,1.84811,3.96362,0.6744619822169474,11.226545853964813,0.99411,1.56259,1.83137,3.96362,0.8870112439071823,0.99589,1.3242,1.84811,2.97497,0.9361607420297636,0.9509286892083729,0.8710367909915536
J1436+0404,9.87965028658267,0.23551890491502803,24.70266845765526,0.68879,3.84745,9.07434,10.38579,0.30666417705462673,10.776912834476379,0.68879,3.84745,7.9924,10.38579,0.5183462882877982,0.83729,1.78655,9.07434,9.98149,0.6303223544128513,0.611866268811923,0.6137602054834542
J1415+1227,9.95930885017688,0.32935778762522305,17.486233742842888,0.89326,2.10345,2.94622,9.94018,0.4229313007286006,10.717342520600637,0.92847,0.75815,1.36728,9.70807,0.7940473333633128,0.89326,2.10345,2.94622,9.94018,0.6344930677538846,0.7020783823969937,0.5424181196998034
J1303+3938,9.833094661872558,0.29194396700107444,24.873741141922352,0.42674,7.00787,8.84502,10.55524,0.2041996674271913,11.12971032827399,0.57206,7.00787,8.73476,10.55524,0.4650080945364541,0.42674,4.26712,8.84502,10.46734,0.4344762526472657,0.5401284301309189,0.32045434350196067
J0758+1558,10.021048805915493,0.26411274371448035,21.22528169865898,0.84717,1.67367,5.10367,7.47283,0.5146757275584669,11.25265118109617,0.84717,1.67367,5.10367,7.47283,0.7272732067736775,0.98755,0.99676,1.46417,3.81614,0.9500142471904635,,0.9979194618537194
J1304+1438,9.990439232542565,0.280588130832032,17.665549143482803,0.97246,1.34643,1.89304,9.17585,0.5214011581999016,10.871925423371106,0.97246,0.92059,1.44641,9.17585,0.790531671148651,0.99172,1.34643,1.89304,3.47863,0.9143693026300074,0.9218708490681836,0.8633827572708554
J1047+2007,9.997457646770421,0.31702672333242243,16.802413919863508,0.98003,1.10751,1.534,9.85625,0.5321191535718063,10.963786669333677,0.98003,0.6853,1.33641,9.85625,0.8368850618245479,0.99857,1.10751,1.534,2.49588,0.9741285222888946,0.9608953531868595,0.9616952528806809
J0154+1343,9.987134120341658,0.30713714040025003,15.73161001243991,0.98827,1.30856,1.84723,9.90362,0.5110303663923584,10.992306756557463,0.99553,0.45069,1.25703,9.90362,0.9679936022655621,0.98827,1.30856,1.84723,9.62582,0.7315608061702168,0.7559598046099305,0.7183782684595674
J1540+1453,10.014450424479417,0.3394747736497126,22.4453456632355,0.98616,1.18362,1.85064,10.67089,0.5061300746988072,11.200696813493785,0.98616,0.89343,1.85064,10.2659,0.7764199143835269,0.99635,1.18362,1.65884,10.67089,0.7220280374408903,0.7315642310568761,0.7516253742550786
J1610+0903,10.01698506478234,0.2808503916579132,23.994347582414,0.87335,1.74231,4.01369,10.34155,0.4286154636934632,11.025479848594417,0.87335,1.74231,4.01369,10.34155,0.6407856969588136,0.98696,1.09369,1.55846,4.96694,0.8978771478541633,0.8840183393020439,0.7684328056069387
J1732+3102,10.02434596192102,0.3575550204890178,46.789670084859104,0.98471,0.9277,1.90907,9.49813,0.5822126804562707,11.322631984746229,0.98471,0.47927,1.90907,9.49813,0.9630336341066642,0.9991,0.9277,1.32867,1.98778,1.0208364057424897,1.0261209490254555,1.0235381195767352
